Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-03-25,11:00:00,5390.0,5390.0,5390.0,5390.0,1,1,0
2024-03-25,13:00:00,5390.0,5390.0,5390.0,5390.0,1,1,0
2024-03-25,14:00:00,5397.0,5397.0,5397.0,5397.0,1,1,0
2024-03-25,15:00:00,5399.0,5399.0,5399.0,5399.0,1,1,0
2024-03-25,19:00:00,5397.5,5397.5,5389.75,5389.75,3,2,0
2024-03-26,00:00:00,5398.0,5398.0,5398.0,5398.0,1,1,0
2024-03-26,07:00:00,5407.0,5407.0,5406.25,5406.25,2,2,0
2024-03-26,11:00:00,5412.5,5412.5,5412.5,5412.5,1,1,0
2024-03-26,12:00:00,5412.25,5412.25,5412.25,5412.25,1,1,0
2024-03-26,13:00:00,5399.0,5399.0,5399.0,5399.0,2,7,0
2024-03-26,16:00:00,5404.5,5404.5,5404.5,5404.5,1,1,0
2024-03-26,19:00:00,5380.0,5380.0,5375.0,5376.75,177,4,0
2024-03-26,20:00:00,5386.0,5386.0,5386.0,5386.0,1,1,0
2024-03-27,12:00:00,5400.0,5400.0,5400.0,5400.0,1,2,0
2024-03-27,13:00:00,5405.25,5405.25,5405.25,5405.25,1,1,0
2024-03-27,14:00:00,5386.0,5386.0,5386.0,5386.0,1,1,0
2024-03-27,17:00:00,5391.0,5391.0,5391.0,5391.0,1,2,0
2024-03-27,18:00:00,5395.25,5395.25,5395.25,5395.25,1,1,0
2024-03-27,19:00:00,5397.0,5419.5,5397.0,5419.5,456,12,0
2024-03-27,20:00:00,5425.0,5425.0,5425.0,5425.0,1,2,0
2024-03-28,02:00:00,5419.25,5419.25,5419.25,5419.25,1,1,0
2024-03-28,11:00:00,5419.0,5419.0,5418.75,5418.75,2,5,0
2024-03-28,12:00:00,5416.0,5421.75,5416.0,5421.75,2,2,0
2024-03-28,13:00:00,5423.5,5423.5,5421.0,5421.0,2,11,0
2024-03-28,15:00:00,5428.25,5428.25,5428.25,5428.25,1,1,0
2024-03-28,17:00:00,5421.0,5424.0,5418.5,5424.0,3,6,0
2024-03-28,18:00:00,5428.25,5430.0,5428.25,5430.0,2,2,0
2024-03-28,19:00:00,5421.75,5421.75,5421.75,5421.75,1,0,0
2024-03-31,23:00:00,5440.0,5447.75,5440.0,5447.75,2,3,0
2024-04-01,01:00:00,5440.0,5440.0,5440.0,5440.0,1,1,0
2024-04-01,02:00:00,5437.25,5437.25,5435.75,5435.75,52,9,0
2024-04-01,13:00:00,5424.5,5424.5,5424.0,5424.0,51,6,0
2024-04-01,14:00:00,5420.0,5425.0,5410.25,5410.25,3,5,0
2024-04-01,15:00:00,5411.5,5411.5,5399.0,5400.5,253,11,0
2024-04-01,18:00:00,5403.0,5403.0,5403.0,5403.0,1,1,0
2024-04-01,19:00:00,5405.0,5409.5,5405.0,5409.5,2,2,0
2024-04-01,22:00:00,5406.25,5406.25,5406.25,5406.25,1,1,0
2024-04-01,23:00:00,5399.0,5403.5,5399.0,5403.5,2,2,0
2024-04-02,05:00:00,5401.0,5401.0,5401.0,5401.0,1,2,0
2024-04-02,07:00:00,5403.0,5403.0,5403.0,5403.0,1,2,0
2024-04-02,11:00:00,5390.0,5390.0,5390.0,5390.0,1,1,0
2024-04-02,12:00:00,5382.75,5382.75,5375.0,5375.0,4,5,0
2024-04-02,13:00:00,5361.5,5367.0,5352.75,5359.0,5,5,0
2024-04-02,14:00:00,5361.5,5361.5,5350.0,5359.75,3,8,0
2024-04-02,15:00:00,5353.0,5360.5,5353.0,5360.5,2,2,0
2024-04-02,17:00:00,5364.25,5364.25,5359.25,5359.25,2,3,0
2024-04-02,18:00:00,5363.75,5365.75,5360.25,5363.0,157,12,0
2024-04-02,19:00:00,5362.25,5373.25,5362.25,5373.25,5,18,0
2024-04-02,20:00:00,5372.5,5375.0,5372.5,5375.0,2,3,0
2024-04-02,23:00:00,5372.25,5372.25,5372.25,5372.25,1,2,0
2024-04-03,01:00:00,5369.75,5369.75,5369.75,5369.75,1,1,0
2024-04-03,02:00:00,5364.0,5369.75,5362.75,5369.75,302,9,0
2024-04-03,10:00:00,5362.75,5362.75,5362.25,5362.25,2,4,0
2024-04-03,13:00:00,5360.75,5360.75,5359.75,5359.75,2,2,0
2024-04-03,14:00:00,5386.0,5389.75,5385.0,5385.0,104,6,0
2024-04-03,15:00:00,5390.0,5390.0,5390.0,5390.0,1,1,0
2024-04-03,16:00:00,5380.5,5389.75,5380.5,5389.75,2,6,0
2024-04-03,17:00:00,5390.25,5390.5,5390.25,5390.5,2,5,0
2024-04-03,19:00:00,5371.5,5378.75,5371.5,5378.75,4,7,0
2024-04-04,00:00:00,5385.5,5385.5,5385.5,5385.5,2,2,0
2024-04-04,03:00:00,5393.75,5394.75,5393.75,5394.75,101,4,0
2024-04-04,12:00:00,5400.0,5408.0,5400.0,5408.0,3,13,0
2024-04-04,13:00:00,5415.0,5416.75,5412.5,5416.75,427,7,0
2024-04-04,14:00:00,5412.0,5412.0,5412.0,5412.0,1,1,0
2024-04-04,16:00:00,5420.0,5420.0,5417.0,5417.0,2,2,0
2024-04-04,18:00:00,5384.5,5384.5,5337.0,5337.0,307,10,0
2024-04-04,19:00:00,5330.0,5334.0,5307.25,5307.25,365,18,0
2024-04-04,20:00:00,5310.0,5316.25,5300.0,5303.25,230,9,0
2024-04-04,22:00:00,5311.0,5311.0,5311.0,5311.0,1,1,0
2024-04-05,01:00:00,5314.0,5314.0,5314.0,5314.0,1,3,0
2024-04-05,03:00:00,5314.0,5314.0,5314.0,5314.0,1,1,0
2024-04-05,05:00:00,5315.0,5315.0,5315.0,5315.0,1,2,0
2024-04-05,06:00:00,5320.0,5320.0,5320.0,5320.0,2,3,0
2024-04-05,07:00:00,5320.5,5320.5,5316.25,5318.25,3,3,0
2024-04-05,10:00:00,5324.0,5324.0,5324.0,5324.0,1,1,0
2024-04-05,11:00:00,5320.25,5320.25,5320.25,5320.25,1,1,0
2024-04-05,12:00:00,5324.75,5330.0,5319.0,5330.0,4,4,0
2024-04-05,13:00:00,5329.25,5342.0,5325.0,5342.0,8,19,0
2024-04-05,14:00:00,5327.75,5350.0,5327.75,5350.0,4,9,0
2024-04-05,15:00:00,5348.0,5375.0,5348.0,5375.0,3,10,0
2024-04-05,16:00:00,5376.0,5381.5,5374.0,5381.5,4,4,0
2024-04-05,17:00:00,5387.5,5387.5,5387.5,5387.5,1,1,0
2024-04-05,18:00:00,5366.75,5372.25,5366.75,5366.75,3,4,0
2024-04-05,19:00:00,5369.25,5369.25,5366.0,5366.0,2,2,0
2024-04-07,22:00:00,5382.75,5382.75,5382.75,5382.75,1,1,0
