Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-08-01,00:03:00,5652.0,5653.5,5652.0,5653.5,5,5,50
2024-08-01,00:10:00,5652.0,5652.0,5652.0,5652.0,1,1,100
2024-08-01,00:11:00,5652.5,5653.25,5652.5,5653.25,3,3,50
2024-08-01,00:12:00,5654.0,5654.0,5654.0,5654.0,1,1,50
2024-08-01,00:14:00,5655.0,5656.25,5655.0,5656.25,7,8,50
2024-08-01,00:16:00,5654.5,5654.5,5654.25,5654.25,2,2,50
2024-08-01,00:17:00,5653.5,5654.25,5653.5,5654.25,3,4,50
2024-08-01,00:22:00,5655.0,5655.0,5655.0,5655.0,1,2,100
2024-08-01,00:23:00,5655.5,5655.5,5655.5,5655.5,1,1,50
2024-08-01,00:25:00,5655.5,5655.5,5654.0,5654.0,2,2,25
2024-08-01,00:32:00,5653.0,5653.0,5653.0,5653.0,1,1,50
2024-08-01,00:34:00,5652.25,5652.25,5652.25,5652.25,1,1,25
2024-08-01,00:38:00,5650.25,5650.25,5648.0,5648.25,10,21,25
2024-08-01,00:40:00,5648.75,5648.75,5648.75,5648.75,1,10,50
2024-08-01,00:43:00,5650.75,5650.75,5650.75,5650.75,1,1,75
2024-08-01,00:50:00,5650.0,5650.0,5650.0,5650.0,1,5,75
2024-08-01,00:51:00,5650.0,5650.0,5650.0,5650.0,1,5,25
2024-08-01,00:54:00,5649.0,5649.0,5649.0,5649.0,1,2,25
2024-08-01,00:57:00,5648.0,5648.0,5648.0,5648.0,1,1,25
2024-08-01,00:58:00,5647.5,5647.5,5645.0,5645.0,4,4,25
2024-08-01,00:59:00,5645.25,5645.25,5645.25,5645.25,1,1,75
2024-08-01,01:00:00,5644.5,5644.5,5644.5,5644.5,1,1,100
2024-08-01,01:02:00,5647.0,5647.0,5647.0,5647.0,1,1,100
2024-08-01,01:10:00,5643.0,5643.0,5641.5,5641.5,3,9,50
2024-08-01,01:12:00,5644.75,5644.75,5644.75,5644.75,1,1,50
2024-08-01,01:26:00,5647.25,5647.25,5647.25,5647.25,1,1,100
2024-08-01,01:47:00,5644.0,5644.0,5643.5,5643.5,2,11,75
2024-08-01,01:56:00,5645.75,5645.75,5645.75,5645.75,1,1,25
2024-08-01,02:10:00,5646.0,5646.0,5646.0,5646.0,1,1,50
2024-08-01,02:11:00,5645.0,5645.0,5645.0,5645.0,1,1,100
2024-08-01,02:15:00,5644.5,5644.5,5644.5,5644.5,1,1,150
2024-08-01,02:22:00,5648.75,5650.0,5648.75,5650.0,4,12,50
2024-08-01,02:23:00,5650.25,5650.25,5650.25,5650.25,1,2,50
2024-08-01,02:25:00,5649.75,5649.75,5649.75,5649.75,1,1,25
2024-08-01,02:27:00,5650.0,5650.0,5650.0,5650.0,1,1,100
2024-08-01,02:32:00,5648.25,5648.25,5648.25,5648.25,1,2,50
2024-08-01,02:35:00,5648.5,5648.5,5648.5,5648.5,1,1,50
2024-08-01,02:41:00,5651.0,5651.0,5651.0,5651.0,1,1,75
2024-08-01,02:49:00,5653.5,5653.5,5653.0,5653.0,2,2,50
2024-08-01,02:50:00,5652.75,5652.75,5652.75,5652.75,1,1,100
2024-08-01,03:01:00,5650.75,5650.75,5650.75,5650.75,1,1,50
2024-08-01,03:13:00,5652.0,5652.0,5652.0,5652.0,1,2,100
2024-08-01,03:20:00,5652.25,5652.25,5652.25,5652.25,1,1,50
2024-08-01,03:29:00,5654.25,5654.25,5654.25,5654.25,1,1,100
2024-08-01,03:37:00,5652.75,5652.75,5652.75,5652.75,1,1,100
2024-08-01,03:39:00,5652.25,5652.25,5652.25,5652.25,1,1,75
2024-08-01,03:56:00,5654.0,5654.25,5654.0,5654.25,2,3,50
2024-08-01,04:07:00,5654.25,5654.25,5654.25,5654.25,1,1,50
2024-08-01,04:09:00,5654.25,5654.25,5654.25,5654.25,1,1,50
2024-08-01,04:17:00,5654.5,5654.5,5654.5,5654.5,1,1,50
2024-08-01,04:18:00,5654.5,5654.5,5654.0,5654.0,2,2,50
2024-08-01,04:19:00,5654.25,5654.25,5654.25,5654.25,1,1,100
2024-08-01,04:29:00,5654.0,5654.0,5654.0,5654.0,1,1,50
2024-08-01,04:30:00,5654.0,5654.0,5654.0,5654.0,2,2,75
2024-08-01,04:41:00,5652.0,5652.0,5652.0,5652.0,1,1,100
2024-08-01,04:43:00,5651.5,5651.5,5651.5,5651.5,1,1,50
2024-08-01,04:46:00,5652.0,5652.0,5652.0,5652.0,1,4,100
2024-08-01,04:51:00,5652.0,5652.0,5652.0,5652.0,1,2,100
2024-08-01,05:01:00,5651.25,5651.25,5651.25,5651.25,3,5,50
2024-08-01,05:10:00,5651.5,5651.5,5651.5,5651.5,1,1,100
2024-08-01,05:15:00,5652.5,5652.5,5652.5,5652.5,1,1,100
2024-08-01,05:23:00,5653.25,5653.25,5653.25,5653.25,1,5,50
2024-08-01,05:33:00,5654.0,5654.0,5654.0,5654.0,1,1,50
2024-08-01,05:39:00,5654.0,5654.0,5654.0,5654.0,1,1,100
